Factor, Method, F-score, Precision, Recall
1,undersampling,0.3674,0.2315,0.8923
1,undersampling,0.3621,0.2283,0.8769
1,undersampling,0.3721,0.2348,0.8962
1,undersampling,0.3662,0.2309,0.8885
1,undersampling,0.3777,0.2396,0.8962
2,undersampling,0.4257,0.2834,0.8577
3,undersampling,0.4686,0.3238,0.8500
3,undersampling,0.4664,0.3223,0.8500
3,undersampling,0.4627,0.3190,0.8462
3,undersampling,0.4773,0.3331,0.8538
3,undersampling,0.4675,0.3238,0.8462
1,undersampling,0.3740,0.2361,0.9000
1,undersampling,0.3631,0.2287,0.8846
1,undersampling,0.3760,0.2376,0.9038
1,undersampling,0.3672,0.2317,0.8885
1,undersampling,0.3613,0.2274,0.8808
1,undersampling,0.3612,0.2274,0.8808
1,undersampling,0.3651,0.2303,0.8846
1,undersampling,0.3595,0.2259,0.8808
1,undersampling,0.3649,0.2296,0.8923
1,undersampling,0.3631,0.2282,0.8923
1,undersampling,0.3642,0.2293,0.8846
1,undersampling,0.3650,0.2303,0.8846
1,undersampling,0.3563,0.2236,0.8808
1,undersampling,0.3708,0.2343,0.8923
1,undersampling,0.3652,0.2298,0.8923
2,undersampling,0.4314,0.2865,0.8731
2,undersampling,0.4294,0.2868,0.8654
2,undersampling,0.4307,0.2872,0.8654
2,undersampling,0.4345,0.2903,0.8654
2,undersampling,0.4312,0.2874,0.8731
2,undersampling,0.4187,0.2764,0.8654
2,undersampling,0.4273,0.2834,0.8692
2,undersampling,0.4243,0.2833,0.8500
2,undersampling,0.4263,0.2832,0.8654
2,undersampling,0.4313,0.2866,0.8731
2,undersampling,0.4322,0.2881,0.8654
2,undersampling,0.4358,0.2907,0.8731
2,undersampling,0.4321,0.2886,0.8615
2,undersampling,0.4298,0.2853,0.8731
2,undersampling,0.4374,0.2938,0.8615
5,undersampling,0.5345,0.3974,0.8192
4,undersampling,0.5177,0.3703,0.8615
4,undersampling,0.5026,0.3601,0.8346
4,undersampling,0.5089,0.3671,0.8346
4,undersampling,0.5044,0.3631,0.8269
4,undersampling,0.4982,0.3567,0.8308
4,undersampling,0.5008,0.3564,0.8423
4,undersampling,0.5069,0.3646,0.8346
4,undersampling,0.4882,0.3533,0.7962
4,undersampling,0.5020,0.3591,0.8346
4,undersampling,0.5042,0.3627,0.8308
4,undersampling,0.5060,0.3628,0.8385
4,undersampling,0.4992,0.3586,0.8308
4,undersampling,0.4990,0.3584,0.8269
4,undersampling,0.5003,0.3572,0.8423
4,undersampling,0.5053,0.3639,0.8269
4,undersampling,0.5023,0.3598,0.8423
4,undersampling,0.5040,0.3605,0.8423
4,undersampling,0.5061,0.3619,0.8423
4,undersampling,0.5040,0.3620,0.8308
2,undersampling,0.4210,0.2798,0.8538
3,undersampling,0.4710,0.3261,0.8500
2,undersampling,0.4335,0.2890,0.8731
2,undersampling,0.4241,0.2814,0.8615
2,undersampling,0.4344,0.2893,0.8769
5,undersampling,0.5285,0.3875,0.8308
5,undersampling,0.5368,0.3986,0.8231
5,undersampling,0.5326,0.3937,0.8269
5,undersampling,0.5271,0.3892,0.8231
5,undersampling,0.5144,0.3773,0.8115
5,undersampling,0.5335,0.3932,0.8308
5,undersampling,0.5294,0.3939,0.8115
5,undersampling,0.5298,0.3917,0.8231
5,undersampling,0.5297,0.3934,0.8115
5,undersampling,0.5321,0.3932,0.8231
5,undersampling,0.5195,0.3813,0.8154
5,undersampling,0.5349,0.3960,0.8308
5,undersampling,0.5238,0.3844,0.8269
5,undersampling,0.5333,0.3911,0.8423
5,undersampling,0.5468,0.4056,0.8423
5,undersampling,0.5296,0.3900,0.8269
3,undersampling,0.4676,0.3247,0.8423
3,undersampling,0.4783,0.3319,0.8577
5,undersampling,0.5213,0.3819,0.8269
3,undersampling,0.4667,0.3211,0.8577
3,undersampling,0.4815,0.3355,0.8538
3,undersampling,0.4798,0.3350,0.8500
3,undersampling,0.4608,0.3170,0.8462
3,undersampling,0.4766,0.3330,0.8385
3,undersampling,0.4699,0.3262,0.8462
3,undersampling,0.4733,0.3278,0.8538
3,undersampling,0.4600,0.3168,0.8423
3,undersampling,0.4821,0.3374,0.8500
3,undersampling,0.4801,0.3343,0.8538
3,undersampling,0.4588,0.3179,0.8269
3,undersampling,0.4643,0.3217,0.8346
4,undersampling,0.4957,0.3539,0.8308
5,undersampling,0.5313,0.3905,0.8346
5,undersampling,0.5168,0.3783,0.8192
10,undersampling,0.5891,0.4801,0.7654
10,undersampling,0.5935,0.4817,0.7769
10,undersampling,0.5953,0.4809,0.7846
10,undersampling,0.5974,0.4839,0.7846
10,undersampling,0.6080,0.4985,0.7808
10,undersampling,0.6073,0.4947,0.7885
10,undersampling,0.6102,0.4972,0.7923
10,undersampling,0.5984,0.4868,0.7769
10,undersampling,0.6030,0.4905,0.7846
10,undersampling,0.6058,0.4938,0.7846
10,undersampling,0.5960,0.4812,0.7846
15,undersampling,0.6277,0.5391,0.7538
10,undersampling,0.6013,0.4933,0.7731
10,undersampling,0.6143,0.5050,0.7885
10,undersampling,0.5973,0.4902,0.7692
10,undersampling,0.6098,0.4964,0.7923
10,undersampling,0.6121,0.5086,0.7769
10,undersampling,0.5962,0.4854,0.7769
10,undersampling,0.5955,0.4857,0.7769
20,undersampling,0.6501,0.5930,0.7231
10,undersampling,0.6100,0.4947,0.7962
10,undersampling,0.6046,0.4936,0.7808
15,undersampling,0.6427,0.5674,0.7462
15,undersampling,0.6305,0.5459,0.7500
20,undersampling,0.6600,0.5988,0.7385
20,undersampling,0.6473,0.5893,0.7192
20,undersampling,0.6500,0.5991,0.7154
20,undersampling,0.6530,0.5970,0.7231
20,undersampling,0.6360,0.5688,0.7269
20,undersampling,0.6568,0.5952,0.7385
15,undersampling,0.6361,0.5526,0.7538
15,undersampling,0.6380,0.5569,0.7500
20,undersampling,0.6636,0.5909,0.7615
20,undersampling,0.6453,0.5755,0.7346
20,undersampling,0.6528,0.5943,0.7308
20,undersampling,0.6493,0.5899,0.7231
20,undersampling,0.6656,0.6063,0.7385
20,undersampling,0.6479,0.5820,0.7385
15,undersampling,0.6338,0.5483,0.7538
15,undersampling,0.6364,0.5592,0.7385
15,undersampling,0.6324,0.5459,0.7538
15,undersampling,0.6305,0.5449,0.7500
15,undersampling,0.6168,0.5289,0.7423
15,undersampling,0.6368,0.5508,0.7577
15,undersampling,0.6376,0.5525,0.7577
15,undersampling,0.6392,0.5492,0.7654
15,undersampling,0.6239,0.5416,0.7385
15,undersampling,0.6328,0.5478,0.7538
15,undersampling,0.6292,0.5403,0.7538
15,undersampling,0.6234,0.5367,0.7462
15,undersampling,0.6426,0.5547,0.7692
15,undersampling,0.6290,0.5548,0.7385
15,undersampling,0.6337,0.5462,0.7577
20,undersampling,0.6406,0.5877,0.7077
20,undersampling,0.6687,0.6166,0.7346
20,undersampling,0.6501,0.6012,0.7154
20,undersampling,0.6623,0.6029,0.7385
20,undersampling,0.6279,0.5631,0.7154
20,undersampling,0.6559,0.6009,0.7269
20,undersampling,0.6601,0.6032,0.7308
