Factor,Method,F1-Score,Correlation,Strength
1,standard,0.3187,0.4345,0.8911
1,standard,0.2983,0.4286,0.8854
1,standard,0.1654,0.5317,0.8665
1,standard,0.3044,0.4111,0.8784
1,standard,0.2571,0.5054,0.8846
1,standard,0.2157,0.4964,0.8765
1,standard,0.2183,0.501,0.8826
1,standard,0.224,0.572,0.882
1,standard,0.2288,0.4488,0.8761
1,standard,0.2876,0.449,0.8747
1,standard,0.1364,0.5624,0.8753
1,standard,0.2084,0.5651,0.8698
1,standard,0.2588,0.4367,0.873
1,standard,0.1798,0.5678,0.8827
1,standard,0.3422,0.5009,0.8838
1,standard,0.2856,0.4674,0.8827
1,standard,0.2575,0.4854,0.886
1,standard,0.2438,0.5096,0.8879
1,standard,0.328,0.4184,0.8847
1,standard,0.2382,0.4911,0.8903
2,standard,0.2702,0.4591,0.8721
2,standard,0.389,0.3641,0.8811
2,standard,0.2342,0.4357,0.866
2,standard,0.3006,0.4772,0.8926
2,standard,0.3532,0.3587,0.8749
2,standard,0.3584,0.4689,0.8842
2,standard,0.3195,0.4805,0.8953
2,standard,0.2949,0.4236,0.8834
2,standard,0.3063,0.4715,0.8895
2,standard,0.211,0.5484,0.882
2,standard,0.2552,0.4876,0.8743
2,standard,0.3458,0.4557,0.8974
2,standard,0.3632,0.3913,0.8899
2,standard,0.2683,0.4879,0.894
2,standard,0.3516,0.4436,0.8989
2,standard,0.4273,0.38,0.8878
2,standard,0.425,0.4505,0.9098
2,standard,0.3142,0.4639,0.888
2,standard,0.2732,0.5477,0.8749
2,standard,0.3246,0.5229,0.8924
3,standard,0.2999,0.4752,0.8916
3,standard,0.2587,0.3955,0.8606
3,standard,0.3466,0.5134,0.887
3,standard,0.3378,0.4722,0.8924
3,standard,0.237,0.4923,0.8855
3,standard,0.2983,0.559,0.9075
3,standard,0.2792,0.5425,0.8982
3,standard,0.3108,0.5168,0.903
3,standard,0.4379,0.4218,0.9101
3,standard,0.2547,0.5283,0.8849
3,standard,0.3117,0.4507,0.8892
3,standard,0.3149,0.4725,0.8831
3,standard,0.315,0.4639,0.8787
3,standard,0.3366,0.3833,0.8797
3,standard,0.37,0.4618,0.8974
3,standard,0.3914,0.4301,0.9018
3,standard,0.35,0.4209,0.8942
3,standard,0.3268,0.3755,0.8835
3,standard,0.3766,0.4299,0.8912
3,standard,0.3445,0.4532,0.8945
4,standard,0.2748,0.4767,0.8634
4,standard,0.4752,0.3385,0.8929
4,standard,0.4268,0.3553,0.8839
4,standard,0.2568,0.4606,0.884
4,standard,0.3569,0.4586,0.8869
4,standard,0.3041,0.4242,0.8859
4,standard,0.3115,0.4915,0.8763
5,standard,0.269,0.5367,0.8988
4,standard,0.3989,0.3958,0.8868
5,standard,0.3044,0.4276,0.8741
4,standard,0.2408,0.5611,0.8737
4,standard,0.3059,0.4546,0.8797
4,standard,0.3627,0.3518,0.8852
4,standard,0.2951,0.4457,0.8859
4,standard,0.2501,0.5006,0.8708
4,standard,0.2603,0.4746,0.8688
4,standard,0.415,0.3925,0.8873
4,standard,0.4042,0.3879,0.8937
4,standard,0.3839,0.4336,0.882
4,standard,0.3136,0.3685,0.8727
4,standard,0.3189,0.4298,0.8884
5,standard,0.2944,0.4681,0.8868
5,standard,0.4357,0.3437,0.9039
5,standard,0.2064,0.5059,0.8759
5,standard,0.2709,0.4703,0.8837
5,standard,0.3401,0.3859,0.8824
5,standard,0.2463,0.4893,0.8881
5,standard,0.2334,0.4673,0.8712
5,standard,0.419,0.3651,0.8872
5,standard,0.323,0.3917,0.8795
5,standard,0.2919,0.498,0.8791
5,standard,0.3678,0.4477,0.876
5,standard,0.3553,0.4703,0.8817
4,standard,0.3899,0.3772,0.8956
5,standard,0.2841,0.4286,0.882
5,standard,0.3968,0.3774,0.8946
5,standard,0.3006,0.4254,0.8815
5,standard,0.337,0.399,0.8781
5,standard,0.1895,0.5359,0.8668
5,standard,0.3443,0.4445,0.8731
10,standard,0.3571,0.4775,0.8866
10,standard,0.4296,0.3835,0.889
10,standard,0.2822,0.5282,0.8809
10,standard,0.3554,0.4596,0.8741
10,standard,0.3472,0.3894,0.8719
10,standard,0.2787,0.5247,0.8953
10,standard,0.2805,0.5575,0.8797
10,standard,0.2439,0.461,0.8656
10,standard,0.2843,0.4584,0.875
10,standard,0.2346,0.5586,0.8643
10,standard,0.3281,0.4503,0.8855
10,standard,0.3335,0.4529,0.8919
10,standard,0.3197,0.3999,0.8699
10,standard,0.2784,0.4963,0.8788
10,standard,0.3406,0.3773,0.8674
10,standard,0.3559,0.3761,0.8792
10,standard,0.3055,0.5448,0.8627
10,standard,0.4567,0.4036,0.9081
10,standard,0.1959,0.5609,0.8836
15,standard,0.3403,0.4345,0.8892
15,standard,0.4069,0.4338,0.9077
15,standard,0.3019,0.4135,0.8753
10,standard,0.3954,0.4978,0.8759
15,standard,0.2681,0.5036,0.8909
15,standard,0.433,0.3731,0.8938
15,standard,0.3451,0.4009,0.871
15,standard,0.2629,0.5071,0.875
15,standard,0.2014,0.6289,0.8809
15,standard,0.3859,0.4526,0.8825
15,standard,0.3201,0.5415,0.8753
15,standard,0.3597,0.3659,0.8648
15,standard,0.3534,0.5156,0.9002
15,standard,0.4201,0.3903,0.9002
15,standard,0.2498,0.4986,0.8857
15,standard,0.2529,0.5036,0.8752
15,standard,0.2179,0.5767,0.8774
20,standard,0.3964,0.4624,0.8831
15,standard,0.21,0.5685,0.8615
15,standard,0.2591,0.4679,0.875
15,standard,0.3681,0.4108,0.8814
15,standard,0.3011,0.4426,0.8895
20,standard,0.3235,0.4919,0.881
20,standard,0.2721,0.5437,0.8746
20,standard,0.2389,0.5764,0.861
20,standard,0.3102,0.4607,0.8759
20,standard,0.4506,0.5186,0.9066
20,standard,0.3856,0.4461,0.9024
20,standard,0.4674,0.3343,0.9037
20,standard,0.3641,0.4936,0.8995
20,standard,0.3216,0.5501,0.8971
20,standard,0.347,0.4031,0.8796
20,standard,0.4201,0.4348,0.9062
20,standard,0.386,0.3444,0.8721
20,standard,0.2616,0.5559,0.8792
20,standard,0.3373,0.528,0.8989
20,standard,0.3335,0.446,0.8916
20,standard,0.282,0.5248,0.891
20,standard,0.2962,0.495,0.8697
20,standard,0.3808,0.3613,0.8808
20,standard,0.4077,0.3861,0.8856
